Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1.2e-05_0.0
Iter #: 2940 loss (4923441.0549544273, 3096.2724080002235)
Iter #: 2950 loss (4969585.1323103094, 3097.8563247124553)
Iter #: 2960 loss (4781796.4062905656, 3100.2908414376784)
Iter #: 2970 loss (4905141.4914327161, 3100.3330333789104)
Iter #: 2980 loss (4746551.3587796874, 3103.5528493987854)
Iter #: 2990 loss (5063568.2023378508, 3102.8584863179035)
Iter #: 3000 loss (4777567.5249323389, 3106.5017414872068)
Iter #: 3010 loss (4892825.926683709, 3106.5333179346489)
Iter #: 3020 loss (4670848.4971961239, 3109.8992151730267)
Iter #: 3030 loss (4845657.8850070331, 3111.0801066403715)
Iter #: 3040 loss (4627906.5274388026, 3114.0157700439913)
Iter #: 3050 loss (4853888.27211555, 3114.6061774261102)
Iter #: 3060 loss (4661134.215868596, 3117.6814882599665)
Iter #: 3070 loss (4806983.8884482803, 3118.9036192143803)
Iter #: 3080 loss (4819491.3781089727, 3120.8045973632816)
Iter #: 3090 loss (4805501.1411949536, 3122.9063162831817)
Iter #: 3100 loss (4810426.3912761882, 3125.0822657654103)
Iter #: 3110 loss (4822155.712340571, 3126.9344899294597)
Iter #: 3120 loss (4800677.7863280401, 3128.9107010511157)
Iter #: 3130 loss (4802389.1499966569, 3130.9375533003536)
Iter #: 3140 loss (4815496.3183368323, 3132.8465683051609)
Iter #: 3150 loss (4823488.6666088821, 3134.5161884260592)
Iter #: 3160 loss (4816438.2484528534, 3136.3008854683721)
Iter #: 3170 loss (4819132.6764830016, 3138.1903226831409)
Iter #: 3180 loss (4806058.3153380007, 3139.9425255682399)
Iter #: 3190 loss (4789561.1841179486, 3142.0872976045193)
Iter #: 3200 loss (4769611.6575944778, 3144.4133802537217)
Iter #: 3210 loss (4753416.3758313982, 3146.392370603809)
Iter #: 3220 loss (4826111.575502241, 3147.2140175819864)
Iter #: 3230 loss (4825415.7605264764, 3148.6880802432556)
Iter #: 3240 loss (4800959.2724852888, 3150.4529000691605)
Iter #: 3250 loss (4790750.028131363, 3152.3089925686581)
Iter #: 3260 loss (4773119.3670204552, 3154.5935794923671)
Iter #: 3270 loss (4724816.1012004381, 3156.814362180332)
Iter #: 3280 loss (4703243.0412313743, 3157.4493414128115)
Iter #: 3290 loss (4699168.1141483784, 3158.6055298245051)
Iter #: 3300 loss (4732761.9059415525, 3158.316111067079)
Iter #: 3310 loss (4929292.3549886486, 3157.810881707504)
Iter #: 3320 loss (5026772.7993287742, 3158.3235128435372)
Iter #: 3330 loss (5070814.4170058491, 3158.5574461039096)
Iter #: 3340 loss (4910077.6918048495, 3160.7069351716132)
Iter #: 3350 loss (4665767.1587933069, 3163.4445028437212)
Iter #: 3360 loss (4666908.6875851918, 3165.3242373353428)
Iter #: 3370 loss (4601232.4861669755, 3165.7274208159315)
Iter #: 3380 loss (4709629.8867525728, 3167.0257628762583)
Iter #: 3390 loss (4759666.0565475179, 3167.7870368718468)
Iter #: 3400 loss (4832429.5977704339, 3169.6394244746893)
Iter #: 3410 loss (4803089.8032960184, 3171.366633074018)
Iter #: 3420 loss (4825330.0387876472, 3173.1652318105503)
Iter #: 3430 loss (4792850.7833281979, 3174.8781057346405)
Iter #: 3440 loss (4795985.4336271659, 3176.9710771157156)
Iter #: 3450 loss (4711389.779827822, 3179.5432954191465)
Iter #: 3460 loss (4775390.6872261176, 3180.0106629428369)
Iter #: 3470 loss (5036758.1304734331, 3178.683355882818)
Iter #: 3480 loss (4513359.8654127913, 3181.0938230580368)
Iter #: 3490 loss (5063283.1523970542, 3180.7691853689171)
Iter #: 3500 loss (5090435.5674248105, 3181.6575821343181)
Iter #: 3510 loss (5024225.5016106265, 3183.099557131723)
Iter #: 3520 loss (4979587.334028136, 3184.7141980014894)
Iter #: 3530 loss (4789119.7966296943, 3185.4043869247039)
Iter #: 3540 loss (4806659.1175050978, 3187.6134687116896)
Iter #: 3550 loss (4738522.3709952664, 3188.6865261445491)
Iter #: 3560 loss (4988853.3764665024, 3187.6071005282765)
Iter #: 3570 loss (4772665.8481206726, 3189.3654965692936)
Iter #: 3580 loss (5084473.7102329116, 3190.0130556205718)
Iter #: 3590 loss (5092736.0410108864, 3191.3955437994)
Iter #: 3600 loss (5031145.6740744524, 3192.8168525904025)
Iter #: 3610 loss (4558947.057271569, 3194.821644046363)
Iter #: 3620 loss (4708519.4302261537, 3195.8426056312005)
Iter #: 3630 loss (4589181.9038698813, 3196.7538643347534)
Iter #: 3640 loss (4763213.130225691, 3197.7548504955407)
Iter #: 3650 loss (4523782.7233482748, 3198.2092006112043)
Iter #: 3660 loss (4630134.8088521734, 3199.5745843834266)
Iter #: 3670 loss (4767571.6906274827, 3201.3992886212304)
Iter #: 3680 loss (4728424.0492630405, 3202.6946280431325)
Iter #: 3690 loss (4707176.5418865448, 3204.7157954272761)
Iter #: 3700 loss (4687297.1407477641, 3206.3490536897252)
Iter #: 3710 loss (5023960.8691740502, 3205.4539867998924)
Iter #: 3720 loss (4947912.1368847499, 3206.9369227348379)
Iter #: 3730 loss (4654515.0100832814, 3207.6127282940533)
Iter #: 3740 loss (4916129.0506769186, 3207.6296717890818)
Iter #: 3750 loss (4510404.9435431818, 3210.5176709584625)
Iter #: 3760 loss (4583271.7206482608, 3212.7572591720627)
Iter #: 3770 loss (4591056.295565783, 3213.7140293811726)
Iter #: 3780 loss (4615072.4684948111, 3214.5209846235607)
Iter #: 3790 loss (4847666.9080189141, 3213.1355523623292)
Iter #: 3800 loss (4616815.8569763061, 3215.4909731760586)
Iter #: 3810 loss (5134387.5079290839, 3212.6644819887747)
Iter #: 3820 loss (4873247.1656543687, 3216.1451085896433)
Iter #: 3830 loss (4547425.4029626949, 3217.991538478957)
Iter #: 3840 loss (4538047.6705851275, 3220.1961864730711)
Iter #: 3850 loss (4887475.9711991586, 3219.6543525846323)
Iter #: 3860 loss (4728386.6558282552, 3221.4213387513719)
Iter #: 3870 loss (4694112.807242088, 3223.1660443563928)
Iter #: 3880 loss (5156273.0031258101, 3219.4598434733421)
Iter #: 3890 loss (4875224.3835818414, 3221.3939666425858)
Iter #: 3900 loss (4878784.157128877, 3224.0341912622271)
Iter #: 3910 loss (4966280.5617003432, 3225.2549086333916)
Iter #: 3920 loss (4841106.7284237407, 3224.5329642863844)
Iter #: 3930 loss (4858640.887274961, 3225.3100382921339)
Iter #: 3940 loss (4826633.5460947659, 3227.6177204147316)
Iter #: 3950 loss (4874332.2332985876, 3227.9597753959947)
Iter #: 3960 loss (4809165.4223170439, 3230.5654179978592)
Iter #: 3970 loss (4486454.8263738872, 3231.1088236463811)
Iter #: 3980 loss (4681813.0215917956, 3232.6016391211497)
Iter #: 3990 loss (4488043.9116378985, 3232.1585250044081)
Iter #: 4000 loss (4838744.5583882825, 3233.1673105747627)
Iter #: 4010 loss (4839711.9286590042, 3234.2579179178688)
Iter #: 4020 loss (4829467.2558319895, 3235.5294182955836)
Iter #: 4030 loss (4855555.5560826948, 3236.7373921601798)
Iter #: 4040 loss (4883128.2209613547, 3238.12707568723)
Iter #: 4050 loss (4568499.0139685245, 3241.6928276820936)
Iter #: 4060 loss (4616598.9747193549, 3243.0238168110996)
Iter #: 4070 loss (4574437.9161420586, 3244.9582771075929)
Iter #: 4080 loss (4517740.5609873505, 3245.2550448812121)
Iter #: 4090 loss (4657882.2299462697, 3246.05318469851)
Iter #: 4100 loss (4878208.078340265, 3243.7157484208496)
Iter #: 4110 loss (4879675.7802758291, 3245.1074954595879)
Iter #: 4120 loss (4867353.2426389279, 3246.817622567502)
Iter #: 4130 loss (4876085.1195152896, 3248.3186430764454)
Iter #: 4140 loss (4957336.6678974628, 3249.1080184573052)
Iter #: 4150 loss (4865137.5805166727, 3250.5860714979522)
Iter #: 4160 loss (4864283.2220239677, 3251.769220264629)
Iter #: 4170 loss (4853168.7667941395, 3252.895242075474)
Iter #: 4180 loss (4956678.6562737897, 3253.4813925602625)
Iter #: 4190 loss (5007086.9471864169, 3253.9441532104238)
Iter #: 4200 loss (5099079.6182985278, 3252.6619364661524)
Iter #: 4210 loss (4617007.4630897725, 3254.9196177820586)
Iter #: 4220 loss (4562015.1355818864, 3255.8615018541045)
Iter #: 4230 loss (4567998.8815850783, 3257.029524375057)
Iter #: 4240 loss (4651010.1968991235, 3258.176802039975)
Iter #: 4250 loss (4568474.6954454947, 3258.5938123813157)
Iter #: 4260 loss (4689780.1595267793, 3259.1004875379381)
Iter #: 4270 loss (4865426.3168107532, 3257.8729100442397)
Iter #: 4280 loss (4726049.0990104331, 3260.4602479318037)
Iter #: 4290 loss (4765329.2244109642, 3260.2250350216673)
Iter #: 4300 loss (4888635.8740520859, 3261.0884746772476)
Iter #: 4310 loss (4515862.1983225476, 3262.1641156018372)
