Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1e-05_0.0
Iter #: 1920 loss (4559539.1477381624, 2802.6094915735521)
Iter #: 1930 loss (4559230.0236126147, 2806.8363266938318)
Iter #: 1940 loss (4558923.336299465, 2811.037248516182)
Iter #: 1950 loss (4558619.055882873, 2815.2124854533158)
Iter #: 1960 loss (4558317.1529995436, 2819.3622628696771)
Iter #: 1970 loss (4558017.5988244917, 2823.4868031392839)
Iter #: 1980 loss (4557720.3650574042, 2827.5863257021192)
Iter #: 1990 loss (4557425.4239092804, 2831.6610471191434)
Iter #: 2000 loss (4557132.748089673, 2835.7111811259488)
Iter #: 2010 loss (4556842.3107942222, 2839.7369386851124)
Iter #: 2020 loss (4556554.085692605, 2843.7385280372796)
Iter #: 2030 loss (4556268.0469169114, 2847.7161547510186)
Iter #: 2040 loss (4555984.1690503377, 2851.6700217714838)
Iter #: 2050 loss (4555702.4271162627, 2855.6003294679194)
Iter #: 2060 loss (4555422.7965676328, 2859.5072756800469)
Iter #: 2070 loss (4555145.2532767449, 2863.391055763354)
Iter #: 2080 loss (4554869.7735252436, 2867.2518626333331)
Iter #: 2090 loss (4554596.3339945069, 2871.0898868086852)
Iter #: 2100 loss (4554324.9117563004, 2874.9053164535339)
Iter #: 2110 loss (4554055.484263679, 2878.6983374186593)
Iter #: 2120 loss (4553788.0293422081, 2882.4691332818024)
Iter #: 2130 loss (4553522.5251814332, 2886.2178853870387)
Iter #: 2140 loss (4553258.950326602, 2889.9447728832733)
Iter #: 2150 loss (4552997.2836705893, 2893.6499727618648)
Iter #: 2160 loss (4552737.5044461694, 2897.3336598934065)
Iter #: 2170 loss (4552479.5922183814, 2900.9960070636944)
Iter #: 2180 loss (4552223.5268771499, 2904.6371850088885)
Iter #: 2190 loss (4551969.2886302536, 2908.2573624499082)
Iter #: 2200 loss (4551716.8579962561, 2911.856706126071)
Iter #: 2210 loss (4551466.2157978378, 2915.4353808279925)
Iter #: 2220 loss (4551217.3431552378, 2918.9935494297779)
Iter #: 2230 loss (4550970.2214798508, 2922.5313729205109)
Iter #: 2240 loss (4550724.8324680477, 2926.0490104350747)
Iter #: 2250 loss (4550481.1580951847, 2929.5466192843028)
Iter #: 2260 loss (4550239.1806097068, 2933.0243549844909)
Iter #: 2270 loss (4549998.8825274538, 2936.4823712862894)
Iter #: 2280 loss (4549760.2466261461, 2939.9208202029731)
Iter #: 2290 loss (4549523.2559399866, 2943.339852038127)
Iter #: 2300 loss (4549287.89375435, 2946.7396154127505)
Iter #: 2310 loss (4549054.1436007759, 2950.1202572917923)
Iter #: 2320 loss (4548821.9892519265, 2953.481923010143)
Iter #: 2330 loss (4548591.4147167243, 2956.8247562980841)
Iter #: 2340 loss (4548362.4042357095, 2960.1488993062194)
Iter #: 2350 loss (4548134.9422763698, 2963.4544926298922)
Iter #: 2360 loss (4547909.0135287168, 2966.7416753331086)
Iter #: 2370 loss (4547684.602900872, 2970.0105849719762)
Iter #: 2380 loss (4547461.6955148811, 2973.2613576176641)
Iter #: 2390 loss (4547240.2767024748, 2976.4941278789101)
Iter #: 2400 loss (4547020.3320011189, 2979.7090289240709)
Iter #: 2410 loss (4546801.8471500659, 2982.9061925027349)
Iter #: 2420 loss (4546584.8080864158, 2986.0857489669097)
Iter #: 2430 loss (4546369.2009414658, 2989.2478272917874)
Iter #: 2440 loss (4546155.0120370602, 2992.3925550961035)
Iter #: 2450 loss (4545942.2278819289, 2995.5200586620958)
Iter #: 2460 loss (4545730.8351683207, 2998.6304629550787)
Iter #: 2470 loss (4545520.8207685025, 3001.7238916426336)
Iter #: 2480 loss (4545312.1717315251, 3004.8004671134299)
Iter #: 2490 loss (4545104.8752799584, 3007.8603104956869)
Iter #: 2500 loss (4544898.9188066823, 3010.9035416752754)
Iter #: 2510 loss (4544694.2898718957, 3013.9302793134848)
Iter #: 2520 loss (4544490.9762000032, 3016.9406408644436)
Iter #: 2530 loss (4544288.9656767501, 3019.9347425922151)
Iter #: 2540 loss (4544088.2463463228, 3022.9126995875718)
Iter #: 2550 loss (4543888.8064084947, 3025.8746257844546)
Iter #: 2560 loss (4543690.6342159333, 3028.8206339761286)
Iter #: 2570 loss (4543493.7182715163, 3031.7508358310301)
Iter #: 2580 loss (4543298.0472256439, 3034.6653419083332)
Iter #: 2590 loss (4543103.6098737819, 3037.5642616732202)
Iter #: 2600 loss (4542910.3951538568, 3040.447703511878)
Iter #: 2610 loss (4542718.392143867, 3043.3157747462164)
Iter #: 2620 loss (4542527.5900594248, 3046.1685816483264)
Iter #: 2630 loss (4542337.9782515028, 3049.0062294546688)
Iter #: 2640 loss (4542149.5462040566, 3051.8288223800128)
Iter #: 2650 loss (4541962.2835318306, 3054.6364636311259)
Iter #: 2660 loss (4541776.1799781322, 3057.4292554202143)
Iter #: 2670 loss (4541591.225412718, 3060.2072989781304)
Iter #: 2680 loss (4541407.4098296631, 3062.9706945673433)
Iter #: 2690 loss (4541224.7233453374, 3065.7195414946837)
Iter #: 2700 loss (4541043.1561963521, 3068.4539381238624)
Iter #: 2710 loss (4540862.6987376269, 3071.1739818877754)
Iter #: 2720 loss (4540683.3414404402, 3073.8797693005895)
Iter #: 2730 loss (4540505.0748905586, 3076.5713959696213)
Iter #: 2740 loss (4540327.889786371, 3079.2489566070185)
Iter #: 2750 loss (4540151.7769370852, 3081.912545041228)
Iter #: 2760 loss (4539976.7272609388, 3084.5622542282795)
Iter #: 2770 loss (4539802.7317835307, 3087.1981762628743)
Iter #: 2780 loss (4539629.7816360127, 3089.8204023892818)
Iter #: 2790 loss (4539457.8680534987, 3092.4290230120641)
Iter #: 2800 loss (4539286.9823734211, 3095.0241277066089)
Iter #: 2810 loss (4539117.1160339126, 3097.6058052294929)
Iter #: 2820 loss (4538948.2605722323, 3100.1741435286731)
Iter #: 2830 loss (4538780.4076232845, 3102.7292297535096)
Iter #: 2840 loss (4538613.5489180284, 3105.2711502646184)
Iter #: 2850 loss (4538447.6762820734, 3107.7999906435753)
Iter #: 2860 loss (4538282.7816341901, 3110.3158357024445)
Iter #: 2870 loss (4538118.8569849264, 3112.8187694931689)
Iter #: 2880 loss (4537955.8944351729, 3115.3088753167985)
Iter #: 2890 loss (4537793.8861748222, 3117.7862357325716)
Iter #: 2900 loss (4537632.8244814416, 3120.2509325668548)
Iter #: 2910 loss (4537472.7017189553, 3122.703046921938)
Iter #: 2920 loss (4537313.5103363479, 3125.142659184688)
Iter #: 2930 loss (4537155.2428663904, 3127.5698490350687)
Iter #: 2940 loss (4536997.8919244334, 3129.9846954545237)
Iter #: 2950 loss (4536841.450207172, 3132.3872767342327)
Iter #: 2960 loss (4536685.910491474, 3134.7776704832327)
Iter #: 2970 loss (4536531.2656331714, 3137.1559536364184)
Iter #: 2980 loss (4536377.5085659558, 3139.5222024624163)
Iter #: 2990 loss (4536224.6323002279, 3141.8764925713385)
Iter #: 3000 loss (4536072.6299219802, 3144.2188989224169)
Iter #: 3010 loss (4535921.494591767, 3146.5494958315248)
Iter #: 3020 loss (4535771.2195435539, 3148.8683569785726)
Iter #: 3030 loss (4535621.7980837561, 3151.1755554148108)
Iter #: 3040 loss (4535473.2235901654, 3153.4711635700037)
Iter #: 3050 loss (4535325.4895109171, 3155.7552532595096)
Iter #: 3060 loss (4535178.5893635983, 3158.0278956912439)
Iter #: 3070 loss (4535032.5167341707, 3160.2891614725531)
Iter #: 3080 loss (4534887.2652760586, 3162.5391206169684)
Iter #: 3090 loss (4534742.8287092065, 3164.7778425508764)
Iter #: 3100 loss (4534599.2008191859, 3167.0053961200865)
Iter #: 3110 loss (4534456.3754562456, 3169.2218495962929)
Iter #: 3120 loss (4534314.3465344515, 3171.4272706834604)
Iter #: 3130 loss (4534173.1080308026, 3173.6217265241007)
Iter #: 3140 loss (4534032.6539843818, 3175.8052837054702)
Iter #: 3150 loss (4533892.9784954861, 3177.9780082656703)
Iter #: 3160 loss (4533754.0757248458, 3180.1399656996673)
Iter #: 3170 loss (4533615.9398927893, 3182.2912209652204)
Iter #: 3180 loss (4533478.5652784118, 3184.4318384887288)
Iter #: 3190 loss (4533341.9462188212, 3186.5618821709963)
Iter #: 3200 loss (4533206.0771083757, 3188.6814153929149)
Iter #: 3210 loss (4533070.9523978941, 3190.7905010210652)
Iter #: 3220 loss (4532936.5665939171, 3192.8892014132425)
Iter #: 3230 loss (4532802.9142580088, 3194.977578423905)
Iter #: 3240 loss (4532669.9900059653, 3197.0556934095466)
Iter #: 3250 loss (4532537.7885071682, 3199.1236072339934)
Iter #: 3260 loss (4532406.3044838579, 3201.1813802736297)
Iter #: 3270 loss (4532275.5327104498, 3203.2290724225522)
Iter #: 3280 loss (4532145.4680128507, 3205.2667430976535)
Iter #: 3290 loss (4532016.1052678246, 3207.2944512436352)
Iter #: 3300 loss (4531887.4394023111, 3209.3122553379567)
Iter #: 3310 loss (4531759.4653928038, 3211.3202133957125)
Iter #: 3320 loss (4531632.1782646682, 3213.3183829744453)
Iter #: 3330 loss (4531505.5730916029, 3215.3068211789027)
Iter #: 3340 loss (4531379.6449949527, 3217.2855846657167)
Iter #: 3350 loss (4531254.3891431643, 3219.2547296480275)
Iter #: 3360 loss (4531129.8007511441, 3221.2143119000507)
Iter #: 3370 loss (4531005.8750797287, 3223.1643867615808)
Iter #: 3380 loss (4530882.6074350309, 3225.1050091424272)
Iter #: 3390 loss (4530759.9931679713, 3227.0362335268087)
Iter #: 3400 loss (4530638.0276736645, 3228.9581139776778)
Iter #: 3410 loss (4530516.7063908894, 3230.8707041409903)
Iter #: 3420 loss (4530396.0248015327, 3232.774057249926)
Iter #: 3430 loss (4530275.978430084, 3234.6682261290493)
Iter #: 3440 loss (4530156.5628431123, 3236.5532631984179)
Iter #: 3450 loss (4530037.7736487202, 3238.4292204776398)
Iter #: 3460 loss (4529919.6064960929, 3240.2961495898762)
Iter #: 3470 loss (4529802.0570749547, 3242.1541017657964)
Iter #: 3480 loss (4529685.1211150903, 3244.0031278474798)
Iter #: 3490 loss (4529568.7943858812, 3245.8432782922696)
Iter #: 3500 loss (4529453.0726958057, 3247.6746031765811)
Iter #: 3510 loss (4529337.9518919764, 3249.4971521996545)
Iter #: 3520 loss (4529223.427859704, 3251.3109746872701)
Iter #: 3530 loss (4529109.4965220075, 3253.1161195954096)
Iter #: 3540 loss (4528996.1538391905, 3254.9126355138765)
Iter #: 3550 loss (4528883.3958083764, 3256.7005706698696)
Iter #: 3560 loss (4528771.2184631145, 3258.4799729315132)
Iter #: 3570 loss (4528659.6178729227, 3260.2508898113429)
Iter #: 3580 loss (4528548.5901428759, 3262.0133684697494)
Iter #: 3590 loss (4528438.1314131776, 3263.7674557183796)
Iter #: 3600 loss (4528328.2378587658, 3265.5131980234987)
Iter #: 3610 loss (4528218.9056889191, 3267.2506415093071)
Iter #: 3620 loss (4528110.131146837, 3268.9798319612205)
Iter #: 3630 loss (4528001.9105092445, 3270.7008148291088)
Iter #: 3640 loss (4527894.2400860582, 3272.4136352304981)
Iter #: 3650 loss (4527787.1162199285, 3274.1183379537315)
Iter #: 3660 loss (4527680.5352859227, 3275.8149674610913)
Iter #: 3670 loss (4527574.4936911594, 3277.5035678918916)
Iter #: 3680 loss (4527468.9878743868, 3279.1841830655217)
Iter #: 3690 loss (4527364.0143056847, 3280.8568564844645)
Iter #: 3700 loss (4527259.5694860891, 3282.5216313372744)
Iter #: 3710 loss (4527155.6499472298, 3284.1785505015209)
Iter #: 3720 loss (4527052.2522510076, 3285.827656546694)
Iter #: 3730 loss (4526949.3729892392, 3287.468991737082)
Iter #: 3740 loss (4526847.0087833423, 3289.1025980346139)
Iter #: 3750 loss (4526745.1562839951, 3290.7285171016615)
Iter #: 3760 loss (4526643.812170798, 3292.3467903038213)
Iter #: 3770 loss (4526542.9731519679, 3293.9574587126526)
Iter #: 3780 loss (4526442.6359640453, 3295.5605631083931)
Iter #: 3790 loss (4526342.7973715253, 3297.1561439826328)
Iter #: 3800 loss (4526243.4541666117, 3298.7442415409719)
Iter #: 3810 loss (4526144.6031688545, 3300.3248957056326)
Iter #: 3820 loss (4526046.2412249334, 3301.8981461180506)
Iter #: 3830 loss (4525948.3652082561, 3303.4640321414363)
Iter #: 3840 loss (4525850.9720187522, 3305.0225928633026)
Iter #: 3850 loss (4525754.0585825518, 3306.5738670979681)
Iter #: 3860 loss (4525657.6218517134, 3308.1178933890287)
Iter #: 3870 loss (4525561.6588039342, 3309.6547100118073)
Iter #: 3880 loss (4525466.1664422899, 3311.1843549757664)
Iter #: 3890 loss (4525371.1417949311, 3312.706866026901)
Iter #: 3900 loss (4525276.5819148496, 3314.2222806501072)
Iter #: 3910 loss (4525182.4838796062, 3315.730636071512)
Iter #: 3920 loss (4525088.8447910519, 3317.2319692607903)
Iter #: 3930 loss (4524995.6617751094, 3318.7263169334492)
Iter #: 3940 loss (4524902.9319814509, 3320.21371555309)
Iter #: 3950 loss (4524810.6525833262, 3321.694201333642)
Iter #: 3960 loss (4524718.8207772449, 3323.1678102415731)
Iter #: 3970 loss (4524627.4337827964, 3324.6345779980788)
Iter #: 3980 loss (4524536.4888423467, 3326.0945400812434)
Iter #: 3990 loss (4524445.9832208473, 3327.5477317281798)
Iter #: 4000 loss (4524355.9142055828, 3328.994187937144)
Iter #: 4010 loss (4524266.2791059297, 3330.4339434696276)
Iter #: 4020 loss (4524177.0752531458, 3331.8670328524295)
Iter #: 4030 loss (4524088.3000001181, 3333.2934903797004)
Iter #: 4040 loss (4523999.9507211829, 3334.7133501149729)
Iter #: 4050 loss (4523912.0248118481, 3336.1266458931573)
Iter #: 4060 loss (4523824.5196886286, 3337.5334113225304)
Iter #: 4070 loss (4523737.4327887846, 3338.9336797866936)
Iter #: 4080 loss (4523650.761570164, 3340.3274844465091)
Iter #: 4090 loss (4523564.503510938, 3341.7148582420255)
Iter #: 4100 loss (4523478.656109428, 3343.0958338943692)
Iter #: 4110 loss (4523393.2168838885, 3344.4704439076258)
Iter #: 4120 loss (4523308.183372302, 3345.8387205706986)
Iter #: 4130 loss (4523223.5531322043, 3347.2006959591449)
Iter #: 4140 loss (4523139.3237404693, 3348.5564019369954)
Iter #: 4150 loss (4523055.492793059, 3349.9058701585559)
Iter #: 4160 loss (4522972.0579049578, 3351.249132070187)
Iter #: 4170 loss (4522889.0167098939, 3352.5862189120635)
Iter #: 4180 loss (4522806.366860128, 3353.9171617199222)
Iter #: 4190 loss (4522724.1060263608, 3355.2419913267827)
Iter #: 4200 loss (4522642.2318974724, 3356.5607383646593)
Iter #: 4210 loss (4522560.7421803707, 3357.8734332662457)
Iter #: 4220 loss (4522479.6345998207, 3359.1801062665918)
Iter #: 4230 loss (4522398.9068982247, 3360.4807874047542)
Iter #: 4240 loss (4522318.556835521, 3361.775506525435)
Iter #: 4250 loss (4522238.5821889583, 3363.0642932806022)
Iter #: 4260 loss (4522158.9807529198, 3364.3471771310928)
Iter #: 4270 loss (4522079.7503387919, 3365.6241873482013)
Iter #: 4280 loss (4522000.8887747619, 3366.8953530152507)
Iter #: 4290 loss (4521922.3939056899, 3368.1607030291434)
Iter #: 4300 loss (4521844.26359291, 3369.420266101904)
Iter #: 4310 loss (4521766.4957140982, 3370.6740707622002)
